data/namaPerusahaan,data/alamatPerusahaan
PT Global Busana Internasional,"Jalan Raya Bojongsari - Ketanggungan Blok 025 Desa Bojongsari Kec. Losari Kab. Brebes - Jawa Tengah, Bojongsari, Losari, Kabupaten Brebes, Jawa Tengah"
PT Global Carton,"NGORO INDUSTRI PERSADA BLOK J 3, 5, 6, Ngoro, Ngoro, Kabupaten Mojokerto, Jawa Timur"
PT Global Certification Indonesia,"Pakuwon Center Superblok Tunjungan City Lantai 15 (Lt. 15-12), Jl. Embong Malang No. 1, 3, 5, Kedungdoro, Tegalsari, Kota Surabaya, Jawa Timur"
PT Global Chem International,"Kawasan Industri MM2100 , Jl. Selayar I Blok H10-1, Mekarwangi, Cikarang Barat, Kabupaten Bekasi, Jawa Barat"
PT Global Chemical Indonesia,
PT Global Chemindo,"Jl. Margomulyo Permai Blok R12,14,14A, Tambak Sarioso, Asemrowo, Kota Surabaya, Jawa Timur"
PT Global Chemindo Internasional,"Kawasan Industri De prima terra Blok C2 B No. 6 Jl. Sapan Desa Tegalluar Kec, Bojongsoang Kabupaten Bandung, Tegalluar, Bojongsoang, Kabupaten Bandung, Jawa Barat"
PT Global Chemindo Megatrading,
PT Global Citra Pratama,"KOMPLEK TAMAN NIAGA BLOK H1 NO. 2, 3, DAN 4, SUKAJADI, BATAM KOTA, Kota Batam, Kepulauan Riau"
CV Global Coco Utama,"Ranggo, Ranggo, Pajo, Kabupaten Dompu, Nusa Tenggara Barat"
PT GLOBAL COCONUT,"Jl. Trans Sulawesi KM. 37, Jaga IV, Desa Radey,, Radey, Tenga, Kabupaten Minahasa Selatan, Sulawesi Utara"
PT Global Computer Corp,
PT Global Dairi Alami,"JL. Raya Kalijati Km. 137, Blok 005 - 007, RT. 05 & 17 / RW. 01, 04 & 05, Desa Manyeti, Kecamatan Dawuan, Kabupaten Subang, Provinsi Jawa Barat, 41271, MANYETI, DAWUAN, Kabupaten Subang, Jawa Barat"
PT Global Data Digital,
PT Global Data Inspirasi,"Jalan Cik Di Tiro No. 34, Terban, Gondokusuman, Kota Yogyakarta, DI Yogyakarta"
PT Global Delarya Pratama,"Sedayu Biz Park Blok DM16 No 103, Jl Daan Mogot Km18, Kalideres, Kalideres, Kota Jakarta Barat, DKI Jakarta"
PT Global Deorub Industry,"Jl. Pangeran Sido Ing Kenayan NO. 89, Karang Anyar, Gandus, Kota Palembang, Sumatera Selatan"
PT Global Digdaya Internasional,"Jl. Raya Gurang Wetan RT. 000 RW. 00 Gurang Anyar Cerme Gresik Kelurahan: Guranganyar Kecamatan: Cerme Kab/Kota: Kab. Gresik Provinsi: Jawa Timur, Desa/Kelurahan Guranganyar, Kec. Cerme, Kab. Gresik, Provinsi Jawa Timur Kode Pos: 61171, Guranganyar, Cerme, Kabupaten Gresik, Jawa Timur"
PT Global Digital Semesta,
